Fiscal Year;Quarter;startDate;Durasi /Jam;Nama Kegiatan;Program;Segmen;Total Peserta;Govt;nonGovt
2021;"Q1";2020-09-29 00:00:00,000;3;"Work with Data in A Power Apps Canvas App ";"GTP";"HigherEd";128;0;128
2021;"Q1";2020-09-30 00:00:00,000;3;"Managing Documents Institution with SharePoint Online ";"GTP";"HigherEd";117;0;117
2021;"Q1";2020-09-17 00:00:00,000;1,5;"A Learning Platform for the New Normal ";"MAU";"HigherEd&K-12";68;0;68
2021;"Q1";2020-09-18 00:00:00,000;1,5;"Deploying Office in Education ";"MAU";"HigherEd&K-12";55;0;55
2021;"Q1";2020-09-24 00:00:00,000;1,5;"Microsoft K12 Education Transformation Framework";"MAU";"HigherEd&K-12";45;0;45
2021;"Q1";2020-09-25 00:00:00,000;1,5;"Creating a New Culture with Teams and Planner ";"MAU";"HigherEd&K-12";31;0;31
2021;"Q1";2020-09-29 00:00:00,000;1,5;"How to create outcomes through digital content and professional development";"MAU";"HigherEd&K-12";43;0;43
2021;"Q1";2020-09-30 00:00:00,000;1,5;"Managing Documents Corporate with SharePoint Online ";"MAU";"HigherEd&K-12";33;0;33
2021;"Q2";2020-12-07 00:00:00,000;3;"Batch 2 – Getting Started with AI on Azure";"AzureAI";"HigherEd";50;0;50
2021;"Q2";2020-12-08 00:00:00,000;3;"Batch 2 – No-Code Machine Learning and Natural Language Processing";"AzureAI";"HigherEd";8;0;8
2021;"Q2";2020-12-11 00:00:00,000;3;"Batch 2 – Exploring Computer Vision and Conversational AI ";"AzureAI";"HigherEd";26;0;26
2021;"Q2";2020-11-18 00:00:00,000;3;"Remote Learning Method during COVID-19 ";"Edvision";"HigherEd&K-12";35;0;35
2021;"Q2";2020-12-02 00:00:00,000;3;"Core PowerPoint 2019";"Edvision";"HigherEd&K-12";125;0;125
2021;"Q2";2020-12-10 00:00:00,000;3;"Core Excel 2019";"Edvision";"HigherEd&K-12";75;0;75
2021;"Q2";2020-11-23 00:00:00,000;1;"Microsoft 365 Overview";"GTP";"HigherEd";277;0;277
2021;"Q2";2020-11-14 00:00:00,000;3;"Pelatihan Pemanfaatan Office 365 dalam Pembelajaran (Aktivasi Akun Microsoft 365 dan Ekplor Microsoft Educator Center) ";"GTPK12";"K-12";105;0;105
2021;"Q2";2020-11-15 00:00:00,000;2;"Pelatihan Pemanfaatan Office 365 dalam Pembelajaran (OneDrive for Business dan Forms) ";"GTPK12";"K-12";90;0;90
2021;"Q2";2020-11-15 00:00:00,000;2;"Eksplorasi Microsoft Educator Center dan Microsoft Teams";"GTPK12";"K-12";85;0;85
2021;"Q2";2020-11-15 00:00:00,000;2;"Eksplorasi Microsoft Educator Center dan Microsoft Teams";"GTPK12";"K-12";89;0;89
2021;"Q2";2020-11-15 00:00:00,000;2;"Eksplorasi Microsoft Educator Center dan Microsoft Teams ";"GTPK12";"K-12";19;0;19
2021;"Q2";2020-11-16 00:00:00,000;2;"Pelatihan Office 365 – MEC dan Microsoft Teams ";"GTPK12";"K-12";17;0;17
2021;"Q2";2020-11-16 00:00:00,000;2;"Pelatihan Pemanfaatan Microsoft Teams untuk Mendukung Pembelajaran ";"GTPK12";"K-12";260;0;260
2021;"Q2";2020-11-16 00:00:00,000;2;"Pelatihan Office 365 – Sway dan OneDrive for Business ";"GTPK12";"K-12";123;0;123
2021;"Q2";2020-11-17 00:00:00,000;2;"Pelatihan Office 365 - Sway, OneNote Class Notebook, & Office Online ";"GTPK12";"K-12";25;0;25
2021;"Q2";2020-11-17 00:00:00,000;2;"Pelatihan Office 365 - Sway, Onenote Class Notebook dan Office Online";"GTPK12";"K-12";33;0;33
2021;"Q2";2020-11-17 00:00:00,000;2;"Pelatihan Office 365 - Sway, OneNote Class Notebook, dan OneDrive for Business ";"GTPK12";"K-12";23;0;23
2021;"Q2";2020-11-17 00:00:00,000;2;"Pemanfaatan Office 365 dalam Pembelajaran (Sway, OneNote, dan Office Online) ";"GTPK12";"K-12";57;0;57
2021;"Q2";2020-11-17 00:00:00,000;2;"Pelatihan Office 365 – Microsoft Teams dan Sway ";"GTPK12";"K-12";51;0;51
2021;"Q2";2020-11-17 00:00:00,000;2;"Pelatihan Office 365 - Microsoft Teams dan One Note Class NoteBook ";"GTPK12";"K-12";48;0;48
2021;"Q2";2020-11-18 00:00:00,000;2;"Pelatihan Microsoft 365 for Education (Sway, OneNote, dan Office Online) ";"GTPK12";"K-12";19;0;19
2021;"Q2";2020-11-18 00:00:00,000;2;"Pelatihan Office 365 untuk Pendidikan - Sway, OneNote Class Notebook, & Office Online ";"GTPK12";"K-12";28;0;28
2021;"Q2";2020-12-02 00:00:00,000;2;"STEMDEMIC with Microsoft 365 – Day1 ";"GTPK12";"K-12";180;0;180
2021;"Q2";2020-12-03 00:00:00,000;2;"STEMDEMIC with Microsoft 365 – Day2";"GTPK12";"K-12";135;0;135
2021;"Q2";2020-12-04 00:00:00,000;2;"STEMDEMIC with Microsoft 365 – Day3";"GTPK12";"K-12";127;0;127
2021;"Q2";2020-12-05 00:00:00,000;2;"STEMDEMIC with Microsoft 365 – Day4";"GTPK12";"K-12";116;0;116
2021;"Q2";2020-10-16 00:00:00,000;3;"Microsoft 365 Administration Workshop ";"M365";"K-12";21;0;21
2021;"Q2";2020-10-20 00:00:00,000;3;"Microsoft Teams Administration Workshop";"M365";"K-12";12;0;12
2021;"Q2";2020-10-22 00:00:00,000;3;"Microsoft 365 Identity with Azure Active Directory ";"M365";"K-12";11;0;11
2021;"Q2";2020-10-06 00:00:00,000;1,5;"How to Create Outcomes through Digital Content and Professional Development ";"MAU";"HigherEd&K-12";52;0;52
2021;"Q2";2020-10-09 00:00:00,000;1,5;"Azure for Higher Education ";"MAU";"HigherEd&K-12";33;0;33
2021;"Q2";2020-10-13 00:00:00,000;1,5;"Outcome Based Education Model Implementation with Microsoft 365 ";"MAU";"HigherEd&K-12";23;0;23
2021;"Q2";2020-10-16 00:00:00,000;1,5;"Enabling Microsoft 365 Workloads for Collaboration";"MAU";"HigherEd&K-12";12;0;12
2021;"Q2";2020-10-19 00:00:00,000;1;"Configuring Breakout Room in Teams ";"MAU";"HigherEd&K-12";3;0;3
2021;"Q2";2020-11-12 00:00:00,000;1;"BPK Penabur Discussion: Implementation and training of Microsoft 365 ";"MAU";"HigherEd&K-12";8;0;8
2021;"Q2";2020-11-16 00:00:00,000;1;"BPK Penabur Series: PowerShell Administration ";"MAU";"HigherEd&K-12";12;0;12
2021;"Q2";2020-11-23 00:00:00,000;1;"PowerShell Wokrshop Session 1 ";"MAU";"HigherEd&K-12";8;0;8
2021;"Q2";2020-11-23 00:00:00,000;1;"PowerShell Wokrshop Session 2";"MAU";"HigherEd&K-12";8;0;8
2021;"Q2";2020-12-17 00:00:00,000;1;"Introduction of Cloud Environment ";"MAU";"HigherEd&K-12";46;0;46
2021;"Q2";2020-12-17 00:00:00,000;1;"Introduction of Azure Resources ";"MAU";"HigherEd&K-12";46;0;46
2021;"Q2";2020-12-17 00:00:00,000;1;"Web Technology in The Cloud ";"MAU";"HigherEd&K-12";46;0;46
2021;"Q2";2020-12-18 00:00:00,000;1;"Web Deployment Through Visual Studio ";"MAU";"HigherEd&K-12";30;0;30
2021;"Q2";2020-12-18 00:00:00,000;1;"ASP.NET Core Project Structure and Concept of Staging and Scaling on The Cloud ";"MAU";"HigherEd&K-12";30;0;30
2021;"Q2";2020-12-18 00:00:00,000;1;"Staging and Scaling Web Application Process in App Service ";"MAU";"HigherEd&K-12";30;0;30
2021;"Q2";2020-12-18 00:00:00,000;1;"Microsoft 365 Administration Workshop ";"MAU";"HigherEd&K-12";13;0;13
2021;"Q2";2020-12-18 00:00:00,000;1;"Microsoft 365 Enterprise and Security Administration and EFO App";"MAU";"HigherEd&K-12";13;0;13
2021;"Q2";2020-12-22 00:00:00,000;1;"Web Architecture Framework on The Cloud ";"MAU";"HigherEd&K-12";16;0;16
2021;"Q2";2020-12-22 00:00:00,000;1;"Pilar-pilar Azure WAF Part II";"MAU";"HigherEd&K-12";16;0;16
2021;"Q2";2020-12-22 00:00:00,000;1;"Resources Security on Azure ";"MAU";"HigherEd&K-12";16;0;16
2021;"Q3";2021-03-04 00:00:00,000;3;"Creating An App Solution for Higher Ed Institution with Power Platforms ";"GTP";"HigherEd";71;0;71
2021;"Q3";2021-03-19 00:00:00,000;3;"Creating and Publishing a Chatbot with Power Virtual Agents​ ";"GTP";"HigherEd";226;0;226
2021;"Q3";2021-02-16 00:00:00,000;3;"STEM Education with Microsoft 365 1";"Edvision";"HigherEd&K-12";212;0;212
2021;"Q3";2021-03-03 00:00:00,000;3;"STEM Education with Microsoft 365 2";"Edvision";"HigherEd&K-12";154;0;154
2021;"Q3";2021-03-17 00:00:00,000;3;"STEM Education with Microsoft 365 3";"Edvision";"HigherEd&K-12";137;0;137
2021;"Q4";2021-06-16 00:00:00,000;3;"Road to MIEE: Microsoft Forms Creating Authentic Assessments ";"Edvision";"K-12";56;0;56
2021;"Q4";2021-06-25 00:00:00,000;3;"Road to MIEE: Keeping students engaged: Building strong student/teacher connections in a remote learning";"Edvision";"K-12";153;0;153
2021;"Q4";2021-06-17 00:00:00,000;1,5;"Session 1: Introduction to Azure and Microsoft Learn for Education ";"MerdekaBelajar";"HigherEd";36;0;36
2021;"Q4";2021-06-18 00:00:00,000;1,5;"Session 2: Introduction to Azure and Microsoft Learn for Education ";"MerdekaBelajar";"HigherEd";29;0;29
2021;"Q4";2021-06-22 00:00:00,000;1,5;"Session 3: Introduction to Azure and Microsoft Learn for Education ";"MerdekaBelajar";"HigherEd";21;0;21
2021;"Q4";2021-06-28 00:00:00,000;1,5;"Session 4: Introduction to Azure and Microsoft Learn for Education ";"MerdekaBelajar";"HigherEd";63;0;63
2021;"Q2";2021-10-27 00:00:00,000;1;"Week 1 – Program Onboarding";"TeamsCoaching";"HigherEd";4;0;4
2021;"Q2";2021-11-02 00:00:00,000;2;"Week 2 – Plan and Prepare";"TeamsCoaching";"HigherEd";5;0;5
2021;"Q2";2021-11-11 00:00:00,000;3;"Week 3 – Pilot and Test";"TeamsCoaching";"HigherEd";4;0;4
2021;"Q2";2021-11-16 00:00:00,000;3;"Week 4 – Teacher Enablement";"TeamsCoaching";"HigherEd";7;0;7
2021;"Q2";2021-11-17 00:00:00,000;1,5;"Week 5 – Student Teacher Adoption";"TeamsCoaching";"HigherEd";7;0;7
2021;"Q2";2021-11-27 00:00:00,000;1;"Week 6 – Program Graduation and Capstone Presentation";"TeamsCoaching";"HigherEd";4;0;4
2021;"Q3";2021-03-24 00:00:00,000;2;"ToT Micro-Credentials Offers for Merdeka Belajar: Telkom University ";"MicroCredentials";"HigherEd";37;0;37
2021;"Q3";2021-03-26 00:00:00,000;2;"ToT Micro-Credentials Offers for Merdeka Belajar: Universitas Pelita Harapan";"MicroCredentials";"HigherEd";74;0;74
2021;"Q3";2021-03-30 00:00:00,000;2;"ToT Micro-Credentials Offers for Merdeka Belajar: Binus University ";"MicroCredentials";"HigherEd";36;0;36
2021;"Q3";2021-03-22 00:00:00,000;3;"Building Interactive Learning for Elementary School Students with Minecraft: Education Edition";"Minecraft";"K-12";209;0;209
2021;"Q3";2021-03-23 00:00:00,000;3;"Explore and Review the History of Prambanan Temple with Minecraft Education: Edition ";"Minecraft";"K-12";235;0;235
2021;"Q3";2021-03-24 00:00:00,000;3;"Learn and Play at the National Monument with Minecraft Education Edition";"Minecraft";"K-12";123;0;123
2021;"Q4";2021-04-26 00:00:00,000;2;"Batch 1 - Micro-Credentials Offers: Data and AI Track ";"MicroCredentials";"HigherEd";45;0;45
2021;"Q4";2021-04-26 00:00:00,000;2;"Batch 1 - Micro-Credentials Offers: Cloud Computing Track ";"MicroCredentials";"HigherEd";80;0;80
2021;"Q4";2021-04-27 00:00:00,000;2;"Batch 1 - Micro-Credentials Offers: Productivity Track ";"MicroCredentials";"HigherEd";39;0;39
2021;"Q4";2021-04-27 00:00:00,000;2;"Batch 2 - Micro-Credentials Offers: Data and AI Track ";"MicroCredentials";"HigherEd";80;0;80
2021;"Q4";2021-04-28 00:00:00,000;2;"Batch 2 - Micro-Credentials Offers: Cloud Computing Track ";"MicroCredentials";"HigherEd";33;0;33
2021;"Q4";2021-04-28 00:00:00,000;2;"Batch 2 - Micro-Credentials Offers: Productivity Track ";"MicroCredentials";"HigherEd";67;0;67
2021;"Q4";2021-04-29 00:00:00,000;2;"Batch 3 - Micro-Credentials Offers: Data and AI Track ";"MicroCredentials";"HigherEd";53;0;53
2021;"Q4";2021-04-29 00:00:00,000;2;"Batch 3 - Micro-Credentials Offers: Cloud Computing Track ";"MicroCredentials";"HigherEd";75;0;75
2021;"Q4";2021-04-30 00:00:00,000;2;"Batch 3 - Micro-Credentials Offers: Productivity Track ";"MicroCredentials";"HigherEd";47;0;47
2021;"Q4";2021-04-16 00:00:00,000;3;"Introducing the Joglo House as a Landmark of Indonesia with Minecraft: Education Edition ";"Minecraft";"K-12";84;0;84
2021;"Q4";2021-04-21 00:00:00,000;3;" Building a Chemistry Laboratory in the form of Dalam Loka House using Minecraft: Education Edition ";"Minecraft";"K-12";85;0;85
2021;"Q4";2021-04-27 00:00:00,000;3;"Introduction of Jam Gadang and Psychics Lesson with Minecraft: Education Edition";"Minecraft";"K-12";48;0;48
2021;"Q4";2021-05-21 00:00:00,000;3;"Innovation of Mathematics Learning with Minecraft: Education Edition – The Jogja Kembali Monument and Mathematics ";"Minecraft";"K-12";87;0;87
2021;"Q4";2021-05-24 00:00:00,000;3;"Introducing the Framework for Practice of State Government Administration at the Bala Puti Palace in Sumbawa with Minecraft: Education Edition ";"Minecraft";"K-12";50;0;50
2021;"Q4";2021-05-28 00:00:00,000;3;"Building and Exploring the Simpang Lima Monument Kediri with Minecraft: Education Edition";"Minecraft";"K-12";31;0;31
2021;"Q4";2021-06-03 00:00:00,000;3;"Showcase Schools – Session 1: SD Al Azhar 31 Yogyakarta ";"ShowcaseSchool";"K-12";24;0;24
2021;"Q4";2021-06-09 00:00:00,000;3;"Showcase Schools – Session 1: SMAK BPK Penabur Bandarlampung ";"ShowcaseSchool";"K-12";20;0;20
2021;"Q4";2021-06-14 00:00:00,000;3;"Showcase Schools – Session 1: SMPK BPK Penabur Cimahi";"ShowcaseSchool";"K-12";15;0;15
2021;"Q4";2021-04-20 00:00:00,000;3;"Showcase Schools – Session 2: SMPK BPK Penabur Cimahi ";"ShowcaseSchool";"K-12";15;0;15
2021;"Q4";2021-06-15 00:00:00,000;3;"Showcase Schools – Session 2: SD Al Azhar 31 Yogyakarta ";"ShowcaseSchool";"K-12";28;0;28
2021;"Q4";2021-06-18 00:00:00,000;3;"Showcase Schools – Session 3: SD Al Azhar 31 Yogyakarta";"ShowcaseSchool";"K-12";25;0;25
2021;"Q4";2021-06-24 00:00:00,000;3;"Showcase Schools – Session 2: SMAK BPK Penabur Bandarlampung";"ShowcaseSchool";"K-12";26;0;26
2021;"Q4";2021-04-01 00:00:00,000;24;"Pelatihan Power BI Vads";"PremiumTraining";"Corporate";15;0;15
2021;"Q4";2021-06-15 00:00:00,000;15;"Pelatihan Power BI Unilever";"PremiumTraining";"Corporate";3;0;3
2021;"Q1";2020-09-15 00:00:00,000;4;"Azure Fundamental for Higher Ed ";"AzureHigherEd";"HigherEd";22;12;10
2021;"Q1";2020-09-22 00:00:00,000;4;"Designing Azure for Academic Infrastructure ";"AzureHigherEd";"HigherEd";53;22;31
2021;"Q1";2020-09-28 00:00:00,000;4;"Designing Virtual Labs with Azure";"AzureHigherEd";"HigherEd";31;18;13
2021;"Q1";2020-09-04 00:00:00,000;3;"Creating A Virtual Classroom using Microsoft Teams ";"GTP";"HigherEd";96;96;0
2021;"Q1";2020-09-28 00:00:00,000;6;"Creating Smart Classroom with Microsoft 365 ";"GTP";"HigherEd";39;39;0
2021;"Q2";2020-11-30 00:00:00,000;3;"Batch 1 - Getting Started with AI on Azure";"AzureAI";"HigherEd";79;79;0
2021;"Q2";2020-12-01 00:00:00,000;3;"Batch 1 - No-Code Machine Learning and Natural Language";"AzureAI";"HigherEd";56;56;0
2021;"Q2";2020-12-04 00:00:00,000;3;"Batch 1 - Exploring Computer Vision and Conversational AI";"AzureAI";"HigherEd";39;39;0
2021;"Q2";2020-12-14 00:00:00,000;3;"Batch 3 – Getting Started with AI on Azure ";"AzureAI";"HigherEd";87;87;0
2021;"Q2";2020-12-15 00:00:00,000;3;"Batch 3 – No-Code Machine Learning and Natural Language Processing ";"AzureAI";"HigherEd";41;41;0
2021;"Q2";2020-12-18 00:00:00,000;3;"Batch 3 – Exploring Computer Vision and Conversational AI ";"AzureAI";"HigherEd";23;23;0
2021;"Q2";2020-10-05 00:00:00,000;3;"Improving Productivity in Higher Ed with Office 365 ";"GTP";"HigherEd";63;63;0
2021;"Q2";2020-10-12 00:00:00,000;3;"Remote Learning Method During COVID-19 with Microsoft Teams ";"GTP";"HigherEd";47;47;0
2021;"Q2";2020-10-14 00:00:00,000;3;"Microsoft Teams for Education Essentials ";"GTP";"HigherEd";9;9;0
2021;"Q2";2020-10-15 00:00:00,000;3;"Microsoft Teams Education for Advanced ";"GTP";"HigherEd";9;9;0
2021;"Q2";2020-10-19 00:00:00,000;3;"OneNote and Class Notebook for Higher Ed ";"GTP";"HigherEd";36;36;0
2021;"Q2";2020-11-12 00:00:00,000;3;"Microsoft Teams for Education Essentials ";"GTP";"HigherEd";67;67;0
2021;"Q2";2020-11-19 00:00:00,000;3;"Microsoft Teams for Education Advanced";"GTP";"HigherEd";55;55;0
2021;"Q2";2020-11-24 00:00:00,000;3;"Microsoft Teams for Education Essentials";"GTP";"HigherEd";58;58;0
2021;"Q2";2020-11-25 00:00:00,000;3;"Microsoft Teams for Education Advanced ";"GTP";"HigherEd";41;41;0
2021;"Q2";2020-11-26 00:00:00,000;3;"Outcome Based Education Model Implementation with Microsoft 365 ";"GTP";"HigherEd";43;43;0
2021;"Q2";2020-12-02 00:00:00,000;3;"Power BI Essentials";"GTP";"HigherEd";19;19;0
2021;"Q2";2020-12-03 00:00:00,000;3;"Power BI Advanced ";"GTP";"HigherEd";16;16;0
2021;"Q2";2020-12-08 00:00:00,000;3;"Improving Productivity In Higher Education with Office 365 ";"GTP";"HigherEd";27;27;0
2021;"Q2";2020-10-27 00:00:00,000;3;"Microsoft 365 Administration Workshop ";"M365";"K-12";3;3;0
2021;"Q2";2020-11-05 00:00:00,000;3;"Microsoft Teams Administration Workshop";"M365";"K-12";5;5;0
2021;"Q2";2020-11-09 00:00:00,000;3;"Microsoft 365 Identity with Azure Active Directory ";"M365";"K-12";5;5;0
2021;"Q2";2020-10-08 00:00:00,000;3;"Global Microsoft 365 Developer Bootcamp 2020 ";"M365";"K-12";58;15;43
2021;"Q2";2020-10-22 00:00:00,000;1;"Power BI Capabilities and Features ";"MAU";"HigherEd&K-12";1;1;0
2021;"Q2";2020-10-27 00:00:00,000;1;"Lightweight Directory Access Protocol ";"MAU";"HigherEd&K-12";5;5;0
2021;"Q2";2020-10-27 00:00:00,000;1;"UI Discussion: Workshop Plan ";"MAU";"HigherEd&K-12";5;5;0
2021;"Q2";2020-11-13 00:00:00,000;1;"UNPAD Discussion Series: SSO and Azure AD";"MAU";"HigherEd&K-12";3;3;0
2021;"Q3";2021-03-04 00:00:00,000;3;"Creating An App Solution for Higher Ed Institution with Power Platforms ";"GTP";"HigherEd";65;65;0
2021;"Q3";2021-03-04 00:00:00,000;3;"Office 365 for Research ";"GTP";"HigherEd";53;53;0
2021;"Q3";2021-03-05 00:00:00,000;3;"Tracking The Successful of Learning in Higher Ed with Power BI";"GTP";"HigherEd";259;259;0
2021;"Q3";2021-03-12 00:00:00,000;3;"Creating A Teaching and Learning Scheduling Application in Higher Ed using Power Apps ";"GTP";"HigherEd";261;261;0
2021;"Q4";2021-04-20 00:00:00,000;3;"UT Series 1: Komunikasi dan Kolaborasi Modern dalam Proyek Penelitian dengan Microsoft Teams ";"GTP";"HigherEd";439;439;0
2021;"Q4";2021-04-23 00:00:00,000;3;"UT Series 2: Komunikasi dan Kolaborasi Modern dalam Proyek Penelitian dengan Microsoft Teams ";"GTP";"HigherEd";114;114;0
2021;"Q4";2021-04-30 00:00:00,000;3;"UI Series: Komunikasi dan Kolaborasi Modern dalam Proyek Penelitian dengan Microsoft Teams ";"GTP";"HigherEd";30;30;0
2021;"Q4";2021-05-05 00:00:00,000;3;"ITB Series: Komunikasi dan Kolaborasi Modern dalam Proyek Penelitian dengan Microsoft Teams ";"GTP";"HigherEd";13;13;0
2021;"Q3";2021-03-29 00:00:00,000;2;"ToT Micro-Credentials Offers for Merdeka Belajar: Universitas Indonesia ";"MicroCredentials";"HigherEd";31;31;0
2021;"Q3";2021-03-30 00:00:00,000;2;"ToT Micro-Credentials Offers for Merdeka Belajar: Universitas Gadjah Mada ";"MicroCredentials";"HigherEd";13;13;0
2021;"Q3";2021-03-31 00:00:00,000;2;"ToT Micro-Credentials Offers for Merdeka Belajar: Institut Teknologi Sepuluh Nopember";"MicroCredentials";"HigherEd";8;8;0
2021;"Q4";2021-04-20 00:00:00,000;3;"Showcase Schools – Session 1: SMP N 13 Sinjai ";"ShowcaseSchool";"K-12";24;24;0
2021;"Q4";2021-05-25 00:00:00,000;3;"Showcase Schools – Session 1: SMP N 2 Pangsid";"ShowcaseSchool";"K-12";35;35;0
2021;"Q4";2021-06-02 00:00:00,000;3;"Showcase Schools – Session 2: SMP N 2 Pangsid";"ShowcaseSchool";"K-12";15;15;0
2021;"Q4";2021-06-09 00:00:00,000;3;"Showcase Schools – Session 2: SMP N 13 Sinjai ";"ShowcaseSchool";"K-12";20;20;0
2021;"Q4";2021-06-08 00:00:00,000;3;"Showcase Schools – Session 1: SMA N 1 Banguntapan ";"ShowcaseSchool";"K-12";34;34;0
2021;"Q4";2021-06-09 00:00:00,000;3;"Showcase Schools – Session 2: SMA N 1 Banguntapan ";"ShowcaseSchool";"K-12";21;21;0
